unit_code,unit,factory,production_date,total_emp_sl,dup,mean_prod_sl,missing_obs,percent_all_eight,percent_first_four,percent_last_four,percent_constant_four,percent_constant_eight,std
UNIT-40,40,M40,15dec2022,335,0,533.65479,1.9717262,84.226189,0,0,84.226189,24.107143,114.07063
UNIT-40,40,M40,16dec2022,335,0,532.36902,0,100,0,0,78.571426,24.107143,103.53804
UNIT-40,40,M40,17dec2022,335,0,548.65479,0,100,0,0,75.89286,22.916666,111.47392
UNIT-39,39,A39,01dec2022,256,0,304.2674,25.641026,45.054947,25.641026,0,85.347984,21.978022,172.27557
UNIT-39,39,A39,02dec2022,256,0,317.94873,50,0,100,0,100,0,98.560432
UNIT-39,39,A39,03dec2022,256,0,379.65201,5.0824175,59.34066,0,0,100,21.978022,131.48253
UNIT-39,39,A39,05dec2022,244,0,321.83908,50,0,100,0,100,0,97.773628
UNIT-39,39,A39,06dec2022,256,0,301.83151,29.349817,45.054947,26.007326,0,85.347984,8.7912092,188.9973
UNIT-39,39,A39,07dec2022,256,0,323.5531,22.985348,45.054947,19.047619,0,100,21.978022,150.97786
UNIT-39,39,A39,08dec2022,256,0,410.64102,0,100,0,0,100,56.043957,130.16129
UNIT-39,39,A39,09dec2022,234,0,399.41153,0,100,0,0,100,51.923077,134.70888
UNIT-39,39,A39,10dec2022,234,0,392.69232,0,100,0,0,100,43.46154,134.03258
UNIT-39,39,A39,12dec2022,234,0,375.46155,0,100,0,0,100,75,143.61635
UNIT-39,39,A39,13dec2022,234,0,274.61539,24.471153,39.23077,45,0,100,9.2307692,149.54192
UNIT-39,39,A39,14dec2022,237,0,328.88461,8.3653851,77.692307,0,0,99.615387,39.615383,178.76878
UNIT-39,39,A39,15dec2022,231,0,305.78741,20.816929,33.070866,17.716536,0,100,8.2677164,179.84175
UNIT-39,39,A39,17dec2022,234,0,317.23486,15.388258,44.31818,15.909091,0,100,10.606061,161.8557
UNIT-39,39,A39,18dec2022,234,0,357.84091,1.8465909,85.227272,0,0,100,18.181818,140.84305
UNIT-36,36,S36,01dec2022,483,0,440.99615,0,100,0,0,83.333336,6.8965516,187.65929
UNIT-36,36,S36,02dec2022,492,0,428.96762,10.261905,80,4.5714288,0,77.714287,.5714286,220.883
UNIT-36,36,S36,03dec2022,493,0,459.79355,0,100,0,0,90.909088,18.939394,211.25734
UNIT-36,36,S36,05dec2022,469,0,481.58954,.4024145,99.195168,0,0,76.257545,6.438632,206.54596
UNIT-36,36,S36,06dec2022,450,0,545.21216,0,100,0,0,89.705879,6.7226892,197.23291
UNIT-36,36,S36,07dec2022,491,0,514.08459,5.2163463,90.192307,0,0,73.653847,3.4615386,195.72937
UNIT-36,36,S36,08dec2022,533,0,521.98029,2.8001792,94.265236,.53763443,.53763443,70.967743,7.3476701,178.50409
UNIT-36,36,S36,09dec2022,532,0,525.13708,2.0109689,92.687386,0,0,72.212067,14.625229,175.68629
UNIT-36,36,S36,10dec2022,489,.20449898,503.90475,2.2073412,94.64286,0,0,79.761902,6.5476189,192.03622
UNIT-36,36,S36,12dec2022,495,.2020202,481.45792,.9784736,98.043053,0,0,68.884537,10.176126,190.34181
UNIT-36,36,S36,13dec2022,501,.1996008,479.43579,.19455253,99.610893,0,0,79.182877,18.677042,185.3508
UNIT-36,36,S36,14dec2022,497,.20120725,499.10959,.19569471,99.608612,0,0,65.753426,22.504892,177.17041
UNIT-36,36,S36,15dec2022,496,.2016129,469.68628,.19607843,99.607841,0,0,70.784317,13.725491,197.21738
UNIT-36,36,S36,16dec2022,513,.19493178,482.28705,.37523451,99.249535,0,0,78.98687,12.570356,195.02121
UNIT-36,36,S36,17dec2022,506,.19762845,438.55743,10.56968,69.114876,4.143126,.18832392,93.596985,5.6497173,188.06567
UNIT-30,30,S30,01dec2022,199,.50251257,325.67346,0,100,0,0,91.836731,35.510204,109.53355
UNIT-30,30,S30,02dec2022,197,.5076142,157.43802,48.915291,34.710743,9.9173555,0,44.628098,18.595041,145.24428
UNIT-30,30,S30,03dec2022,161,.62111801,220.90453,27.701006,68.341705,0,0,68.341705,39.19598,156.53908
UNIT-30,30,S30,05dec2022,152,1.9736842,155.93909,50.190357,42.639595,0,0,42.639595,31.472082,161.24754
UNIT-30,30,S30,06dec2022,152,1.9736842,183.1472,35.913704,50.253807,0,0,60.40609,41.116753,139.38364
UNIT-30,30,S30,07dec2022,150,0,137.47253,55.28846,36.813187,0,0,36.813187,22.527473,142.98393
UNIT-30,30,S30,08dec2022,160,2.5,239.71831,29.577465,66.197182,0,0,66.197182,35.211269,164.0062
UNIT-30,30,S30,09dec2022,143,.69930071,114.41341,66.27095,18.994413,0,0,18.994413,9.4972067,98.214775
UNIT-30,30,S30,10dec2022,143,.69930071,92.849159,68.645248,0,0,0,18.994413,0,87.235153
UNIT-30,30,S30,12dec2022,136,.7352941,99.069771,70.494186,0,0,0,2.3255813,0,66.431656
UNIT-30,30,S30,13dec2022,160,2.5,83.796295,76.736115,0,0,0,0,0,43.116234
UNIT-30,30,S30,14dec2022,47,0,54.814816,82.870369,0,0,0,0,0,19.497532
UNIT-30,30,S30,15dec2022,156,1.2820513,52.21154,85.456734,0,0,0,0,0,12.699175
UNIT-30,30,S30,16dec2022,145,2.0689654,224.5641,35.76923,53.846153,0,0,53.846153,20,207.15846
UNIT-30,30,S30,17dec2022,167,2.3952096,100.21008,64.7584,0,0,0,34.033615,0,105.88764
UNIT-28,28,B28,01dec2022,305,0,516.76453,19.314516,75.161293,0,0,50.967743,20.967741,267.4563
UNIT-28,28,B28,02dec2022,301,0,628.90582,1.9480519,92.207794,0,0,68.831169,35.064934,170.57819
UNIT-28,28,B28,03dec2022,223,0,591.58734,10.80786,56.768559,0,0,75.545853,33.624454,210.12732
UNIT-28,28,B28,05dec2022,286,0,496.63528,26.327055,66.095894,0,0,52.054794,25.342466,305.61279
UNIT-28,28,B28,06dec2022,214,0,556.50458,17.431192,59.633026,29.357798,0,60.550457,33.944954,250.25613
UNIT-28,28,B28,07dec2022,188,0,347.19211,49.876846,29.55665,0,0,16.748768,2.9556651,343.01627
UNIT-28,28,B28,08dec2022,269,0,437.72299,30.923346,41.811848,8.3623695,0,36.236935,6.2717772,273.16577
UNIT-28,28,B28,09dec2022,43,0,64.069771,87.5,0,0,0,0,0,10.924841
UNIT-28,28,B28,10dec2022,144,0,543.00671,20.553692,56.375839,0,0,55.033558,5.3691278,310.31082
UNIT-28,28,B28,12dec2022,145,0,648.60626,7.8125,37.5,0,0,23.125,9.375,197.49747
UNIT-28,28,B28,13dec2022,144,0,518.00336,27.027027,56.756756,0,0,16.891891,1.3513514,316.73096
UNIT-28,28,B28,14dec2022,120,0,491.67743,38.709679,48.387096,0,0,17.741936,2.4193549,380.26816
UNIT-28,28,B28,15dec2022,114,0,353.86508,40.476189,19.047619,80.952377,0,46.825397,0,82.559105
UNIT-28,28,B28,16dec2022,163,0,503.87125,29.865269,35.928143,0,0,20.359282,0,327.43411
UNIT-28,28,B28,17dec2022,146,0,503.16974,36.188271,37.037037,0,0,18.518518,.61728394,333.63309
UNIT-26E,26,M26,01dec2022,331,18.126888,492.76297,0,100,0,0,95.231415,65.918655,56.935516
UNIT-26E,26,M26,02dec2022,327,16.819572,517.07782,0,100,0,0,85.022026,49.48605,83.003235
UNIT-26E,26,M26,03dec2022,337,16.913946,495.8382,2.186589,95.626823,4.373178,0,98.104958,44.752186,108.65094
UNIT-26E,26,M26,05dec2022,312,17.948717,491.24005,0,100,0,0,99.841019,54.689983,92.765656
UNIT-26E,26,M26,06dec2022,313,16.613419,491.81818,0,100,0,0,100,56.033058,57.159588
UNIT-26E,26,M26,07dec2022,299,15.384615,526.18884,0,100,0,0,93.086006,57.841484,57.551193
UNIT-26E,26,M26,08dec2022,274,10.583941,525.30365,0,100,0,0,85.020241,49.392712,55.903141
UNIT-26E,26,M26,09dec2022,282,15.957447,514.94775,1.1759582,97.735191,0,0,98.60627,54.181183,73.773254
UNIT-26E,26,M26,10dec2022,311,14.469454,516.26434,0,100,0,0,88.834152,44.006569,75.838799
UNIT-26E,26,M26,12dec2022,231,11.255411,525.77167,0,100,0,0,86.046509,48.414375,65.750931
UNIT-26E,26,M26,13dec2022,267,2.9962547,505.59482,0,100,0,0,100,40.732758,114.85263
UNIT-26E,26,M26,14dec2022,267,2.9962547,506.48935,0,100,0,0,100,29.787233,110.08145
UNIT-26E,26,M26,15dec2022,240,7.0833335,562.66821,0,100,0,0,85.382828,20.88167,71.362679
UNIT-26E,26,M26,16dec2022,240,7.0833335,574.96521,0,100,0,0,85.382828,24.825987,52.733963
UNIT-26E,26,M26,17dec2022,150,8.666667,601.76257,0,100,0,0,100,0,18.755152
UNIT-26,26,M26,01dec2022,632,.79113925,278.1778,40.857502,42.496849,0,0,38.335434,.5044136,220.06648
UNIT-26,26,M26,02dec2022,619,.80775446,266.30054,45.591148,40.026421,0,0,35.667107,0,238.79314
UNIT-26,26,M26,03dec2022,624,.80128205,285.37531,40.804241,45.885288,0,0,45.63591,2.7431421,213.52383
UNIT-26,26,M26,05dec2022,628,.79617834,240.26889,50.208065,35.851471,0,0,27.912931,.38412291,208.26233
UNIT-26,26,M26,06dec2022,611,.81833059,232.06508,47.493359,36.78619,0,0,26.958832,4.2496681,196.82872
UNIT-26,26,M26,07dec2022,596,1.0067114,258.48349,48.175762,35.532993,0,0,35.532993,8.7563448,222.89012
UNIT-26,26,M26,08dec2022,592,1.0135136,255.41551,48.998749,34.918648,0,0,30.913643,.50062579,227.86314
UNIT-26,26,M26,09dec2022,555,1.081081,254.0527,50.338318,33.760685,0,0,33.903133,0,232.40784
UNIT-26,26,M26,10dec2022,586,1.7064847,224.26421,50.792603,36.459709,0,0,31.307795,4.359313,221.87604
UNIT-26,26,M26,12dec2022,579,1.7271158,313.64249,37.533604,50.403225,0,0,36.962364,0,228.24741
UNIT-26,26,M26,13dec2022,597,1.6750419,302.32635,38.892529,48.885975,0,0,37.483616,0,233.21416
UNIT-26,26,M26,14dec2022,566,2.1201413,111.64,75.48333,0,0,0,0,0,44.193302
UNIT-26,26,M26,15dec2022,565,1.5929203,296.51617,39.976414,47.843666,0,0,38.948788,5.5256066,249.48738
UNIT-26,26,M26,16dec2022,579,.51813471,220.09296,56.308102,5.0464807,0,0,34.130146,4.2496681,173.17513
UNIT-26,26,M26,17dec2022,564,1.4184397,330.02014,35.352348,53.154362,0,0,49.664429,4.6979866,239.90009
UNIT-22,22,T22,01dec2022,129,0,642.42426,0,100,0,0,100,98.484848,205.04001
UNIT-22,22,T22,02dec2022,129,0,642.42426,0,100,0,0,100,100,205.31905
UNIT-22,22,T22,03dec2022,129,0,582.57574,8.901515,28.787878,0,0,100,28.787878,184.8235
UNIT-22,22,T22,05dec2022,114,0,584.48279,8.4051723,32.758621,0,0,100,31.034483,186.57832
UNIT-22,22,T22,06dec2022,114,0,641.37933,0,100,0,0,100,100,206.86856
UNIT-22,22,T22,07dec2022,114,0,641.37933,0,100,0,0,98.275864,95.689651,206.74663
UNIT-22,22,T22,08dec2022,150,0,631.63159,0,100,0,0,100,95.394737,209.96025
UNIT-22,22,T22,09dec2022,150,0,631.57892,0,100,0,0,100,98.026314,209.82838
UNIT-22,22,T22,10dec2022,150,0,631.57892,0,100,0,0,100,96.710526,209.8063
UNIT-22,22,T22,13dec2022,125,0,622.22223,0,100,0,0,100,93.650795,213.34718
UNIT-22,22,T22,14dec2022,125,0,622.22223,0,100,0,0,100,95.238098,213.30125
UNIT-22,22,T22,15dec2022,150,0,631.57892,0,100,0,0,100,100,209.98299
UNIT-22,22,T22,16dec2022,106,0,613.20752,3.0660377,75.471695,0,0,100,75.471695,203.49118
UNIT-22,22,T22,17dec2022,88,0,636.36365,0,100,0,0,100,100,211.45464
UNIT-20,20,B20,01dec2022,479,.20876826,306.63052,16.727942,80.882355,0,0,37.316177,9.0073528,206.75055
UNIT-20,20,B20,02dec2022,454,0,415.64246,2.8680689,94.263863,5.7361379,0,65.391968,7.2657743,154.11819
UNIT-20,20,B20,03dec2022,495,0,371.29297,18.85965,70,7.3684211,0,47.894737,13.859649,214.80098
UNIT-20,20,B20,05dec2022,469,0,401.96628,0,100,0,0,52.80899,3.5580525,168.36113
UNIT-20,20,B20,06dec2022,470,0,433.50284,.70621467,97.17514,0,0,49.152542,4.7080979,141.51994
UNIT-20,20,B20,07dec2022,471,0,423.58099,0,100,0,0,63.12849,6.8901305,160.24632
UNIT-20,20,B20,08dec2022,453,0,339.23679,20.181017,72.994125,9.1976519,0,64.187866,10.763209,223.86447
UNIT-20,20,B20,09dec2022,448,0,432.35001,3.4000001,93.199997,6.8000002,0,64.400002,16,189.33098
UNIT-20,20,B20,10dec2022,473,0,448.07547,2.4056604,93.584908,0,0,74.71698,17.924528,193.66179
UNIT-20,20,B20,12dec2022,443,0,406.17706,4.5523138,81.69014,0,0,45.875252,3.4205232,189.26878
UNIT-20,20,B20,13dec2022,365,0,449.84146,0,100,0,0,67.073174,9.0243902,166.65752
UNIT-20,20,B20,14dec2022,477,0,398.85904,6.5714288,70.666664,0,0,47.047619,.76190478,156.41827
UNIT-20,20,B20,15dec2022,525,0,441.76141,0,100,0,0,48.730965,1.3536379,145.9144
UNIT-20,20,B20,16dec2022,485,0,459.45673,.18416207,99.631676,0,0,55.064457,18.784531,137.41797
UNIT-20,20,B20,17dec2022,525,0,415.26395,10.681049,65.143822,0,0,53.299492,16.582064,135.35826
UNIT-173 (47),47,A47,01dec2022,255,0,538.52942,0,100,0,0,81.617645,38.60294,204.61612
UNIT-173 (47),47,A47,02dec2022,236,0,572.52002,0,100,0,0,66.800003,40.799999,205.59995
UNIT-173 (47),47,A47,03dec2022,263,0,531.74377,0,100,0,0,100,49.110321,255.58963
UNIT-173 (47),47,A47,05dec2022,263,0,530.81848,0,100,0,0,100,27.758007,218.7608
UNIT-173 (47),47,A47,06dec2022,253,0,536.36499,0,100,0,0,34.306568,7.6642337,275.16348
UNIT-173 (47),47,A47,07dec2022,221,0,560.85107,0,100,0,0,72.765961,13.191489,240.8215
UNIT-173 (47),47,A47,08dec2022,252,0,602.96643,0,100,0,0,71.268654,5.2238808,225.94592
UNIT-173 (47),47,A47,09dec2022,280,0,534.31665,0,100,0,0,63,10.666667,266.54538
UNIT-173 (47),47,A47,10dec2022,270,0,586.21527,0,100,0,0,93.75,43.055557,211.52034
UNIT-173 (47),47,A47,12dec2022,263,0,526.41431,0,100,0,0,81.071426,21.785715,231.73288
UNIT-173 (47),47,A47,13dec2022,262,0,564.76703,0,100,0,0,57.706093,21.505377,201.47308
UNIT-173 (47),47,A47,14dec2022,263,0,583.03137,0,100,0,0,88.153313,4.8780489,195.56903
UNIT-173 (47),47,A47,15dec2022,291,0,502.8934,6.2695923,89.968651,0,0,56.739811,4.3887148,290.30908
UNIT-173 (47),47,A47,17dec2022,247,0,622.77155,0,100,0,0,47.565544,0,198.32143
UNIT-173 (47),47,A47,18dec2022,279,0,496.79999,0,100,0,0,70.333336,20.666666,271.73865
UNIT-14,14,B14,01dec2022,634,0,393.06747,3.3742332,83.435585,0,0,40.337421,12.883435,132.66971
UNIT-14,14,B14,02dec2022,596,0,409.2623,.34836066,99.180328,0,0,46.393444,15.081967,130.39014
UNIT-14,14,B14,03dec2022,601,0,409.86951,2.7324634,84.013054,.16313213,0,50.897228,12.071778,132.1293
UNIT-14,14,B14,05dec2022,537,0,381.30276,9.0825691,85.321098,6.788991,0,57.431194,12.66055,157.35301
UNIT-14,14,B14,06dec2022,499,0,408.21783,4.8514853,92.277229,0,0,53.861385,18.415842,147.40982
UNIT-14,14,B14,07dec2022,498,0,402.71826,2.2073412,92.063492,.1984127,.1984127,47.619049,13.690476,134.714
UNIT-14,14,B14,08dec2022,460,0,409.55127,.40064102,99.358971,0,0,56.623932,16.666666,126.48208
UNIT-14,14,B14,09dec2022,419,0,376.28235,1.2058823,92.705879,0,0,38.823528,14.588235,114.73283
UNIT-14,14,B14,10dec2022,491,0,391.28,3.9000001,85.199997,.40000001,.40000001,58,2.5999999,138.8755
UNIT-14,14,B14,12dec2022,603,0,382.84552,3.0487804,78.048782,.16260162,0,53.170731,8.6178865,132.04555
UNIT-14,14,B14,13dec2022,538,0,367.15329,5.6341243,77.007301,0,0,66.423355,18.978102,123.88116
UNIT-14,14,B14,14dec2022,592,0,407.42148,0,100,0,0,65.619835,18.512396,133.70007
UNIT-14,14,B14,15dec2022,556,0,372.56183,2.6280918,86.749115,0,0,48.233215,13.250883,147.62447
UNIT-14,14,B14,16dec2022,550,0,360.60605,11.987522,64.884132,0,0,70.588234,17.825312,121.61997
UNIT-14,14,B14,17dec2022,584,0,399.24496,4.5931206,93.791946,0,0,50.167786,27.013422,145.56906
UNIT-12,12,B12,01dec2022,481,0,434.57834,5.6334624,75.628624,0,0,49.90329,18.762089,158.51262
UNIT-12,12,B12,02dec2022,443,0,462.73596,.38981289,96.8815,0,0,54.677753,17.255716,148.12137
UNIT-12,12,B12,03dec2022,446,0,486.29959,1.394628,95.867767,0,0,52.892563,26.652893,152.31049
UNIT-12,12,B12,05dec2022,378,0,501.93765,.83932853,94.72422,0,0,58.27338,17.026379,123.23941
UNIT-12,12,B12,06dec2022,458,0,431.85828,3.4940944,94.48819,2.5590551,0,51.771652,15.944881,154.91422
UNIT-12,12,B12,07dec2022,395,0,429.2579,4.8925338,87.782806,0,0,60.633484,16.063349,179.52954
UNIT-12,12,B12,08dec2022,223,0,476.29871,0,100,0,0,55.844154,32.900433,142.45107
UNIT-12,12,B12,09dec2022,202,0,386.9762,11.190476,49.047619,0,0,59.047619,30.952381,171.52559
UNIT-12,12,B12,10dec2022,286,0,451.63934,0,100,0,0,68.852463,9.1803274,153.02187
UNIT-12,12,B12,12dec2022,329,0,386.76666,7.0833335,62.222221,0,0,64.166664,5.5555553,158.01859
UNIT-12,12,B12,13dec2022,331,0,408.49435,5.3319211,76.553673,0,0,67.796608,11.581921,137.40022
UNIT-12,12,B12,14dec2022,362,0,419.00256,6.7332473,63.659794,0,0,52.319588,6.1855669,134.18922
UNIT-12,12,B12,15dec2022,342,0,401.24667,9.0848808,63.660477,0,0,56.233421,15.384615,151.16383
UNIT-12,12,B12,16dec2022,439,0,447.15701,0,100,0,0,54.958679,8.4710741,144.81902
UNIT-12,12,B12,17dec2022,398,0,457.78131,0,100,0,0,55.580864,2.2779043,122.18226
UNIT-11,11,B11,01dec2022,758,0,374.85333,.65189046,96.610168,0,0,19.947849,1.8252933,127.29524
UNIT-11,11,B11,02dec2022,703,0,378.22238,1.8356644,96.783218,0,0,17.622377,2.6573427,147.88457
UNIT-11,11,B11,03dec2022,740,0,381.02658,5.8178191,92.686172,0,0,20.74468,1.7287234,156.30093
UNIT-11,11,B11,05dec2022,789,0,355.17142,4.4565215,91.304344,0,0,17.888199,.3726708,147.59538
UNIT-11,11,B11,06dec2022,814,0,352.5101,1.4994062,97.149643,0,0,29.334917,3.2066507,135.29358
UNIT-11,11,B11,07dec2022,813,0,368.50482,.63176894,98.315285,0,0,26.474127,.84235859,136.16893
UNIT-11,11,B11,08dec2022,752,0,371.29086,1.7052767,95.881599,0,0,30.24453,1.6731017,130.65085
UNIT-11,11,B11,09dec2022,725,0,386.09985,3.9021163,94.84127,0,.13227513,42.989418,7.1428571,146.12016
UNIT-11,11,B11,10dec2022,782,0,383.34268,2.7896342,87.926826,0,0,42.317074,4.6341462,119.76457
UNIT-11,11,B11,12dec2022,764,0,344.19614,.79389787,98.381073,0,0,25.280199,3.73599,135.44753
UNIT-11,11,B11,13dec2022,743,0,349.32022,1.8041238,96.391754,.25773194,.25773194,38.402061,7.3453608,125.53027
UNIT-11,11,B11,14dec2022,756,0,340.82358,5,91.21019,0,0,16.178345,1.0191083,147.25523
UNIT-11,11,B11,15dec2022,739,0,332.34067,4.2584195,93.782387,0,0,22.668394,7.1243525,141.38939
UNIT-11,11,B11,16dec2022,747,0,338.51746,1.2758398,94.702843,0,0,27.390181,2.1963825,121.23729
UNIT-11,11,B11,17dec2022,732,0,340.2807,3.996037,94.055481,.1321004,.1321004,41.875824,3.5667107,140.52902
UNIT-61,E61,E61,02nov2022,396,0,372.64127,15.970516,68.304665,7.6167078,0,68.550369,.98280096,180.04129
UNIT-61,E61,E61,03nov2022,458,0,356.73306,21.292374,56.35593,0,0,40.889832,20.974577,163.9425
UNIT-61,E61,E61,04nov2022,208,0,470.18604,0,100,0,0,66.976746,29.302326,140.95789
UNIT-61,E61,E61,05nov2022,192,0,518.04999,0,100,0,0,74.5,9.5,130.43622
UNIT-61,E61,E61,07nov2022,317,0,409.38837,7.3394494,90.214066,0,0,40.061161,9.7859325,165.04347
UNIT-61,E61,E61,08nov2022,324,0,376.80179,13.025525,36.336338,0,0,39.939941,0,143.57179
UNIT-61,E61,E61,09nov2022,314,0,395.46439,15.518576,35.294117,8.3591328,0,75.541794,4.9535604,107.28265
UNIT-61,E61,E61,10nov2022,356,0,337.24658,20.856165,69.315071,8.7671232,0,41.09589,7.3972602,180.50949
UNIT-61,E61,E61,11nov2022,324,0,454.60962,1.0135136,91.891891,0,0,38.738739,15.915915,130.47673
UNIT-61,E61,E61,12nov2022,395,0,425.37036,8.333333,72.34568,0,0,40.246914,18.518518,141.02168
UNIT-61,E61,E61,14nov2022,319,0,387.00302,18.599398,55.722893,8.1325302,0,48.192772,13.554217,150.63353
UNIT-61,E61,E61,15nov2022,382,0,380.66248,19.836271,71.536522,0,0,53.400505,8.8161211,180.60201
UNIT-61,E61,E61,16nov2022,274,0,405.29721,15.952797,33.216782,0,0,51.04895,0,131.05844
UNIT-61,E61,E61,17nov2022,272,0,374.50705,22.887323,60.211269,9.1549292,0,45.422535,0,170.56424
UNIT-61,E61,E61,18nov2022,272,0,486.44366,1.1443661,90.84507,0,0,42.957745,0,133.5491
UNIT-61,E61,E61,19nov2022,272,0,420.21127,17.253521,60.211269,9.5070419,0,64.084511,0,158.84007
UNIT-61,E61,E61,21nov2022,284,0,365.35837,25.085323,30.375427,0,0,57.337883,0,135.18997
